382797,2015-11-09 22:52:35 +0200,1,1
382796,2015-11-09 22:30:43 +0200,2,9,2
382795,2015-11-09 22:12:47 +0200,1,0,0
382794,2015-11-09 22:02:53 +0200,1,1,0
382793,1970-01-01 02:00:00 +0200,0,0,0
382792,2015-11-09 21:56:44 +0200,2,4,2,2
382791,2015-11-09 21:38:37 +0200,0,1,0,0
382790,2015-11-09 21:37:25 +0200,1,15,0,0
382789,2015-11-09 21:29:18 +0200,0,3,0,1
382788,2015-11-09 21:23:43 +0200,1,8,0,1
382787,1970-01-01 02:00:00 +0200,0,0,0,0
382786,1970-01-01 02:00:00 +0200,0,0,0,0
382785,2015-11-09 21:12:57 +0200,6,1,0,0,2,18
382784,2015-11-09 21:12:06 +0200,0,3,0,0,0,0
382783,2015-11-09 20:10:26 +0200,1,0,0,0,0,0
382782,1970-01-01 02:00:00 +0200,0,0,0,0,0,0
382781,1970-01-01 02:00:00 +0200,0,0,0,0,0,0
382780,2015-11-09 20:03:10 +0200,1,6,0,0,0,0
382779,1970-01-01 02:00:00 +0200,0,0,0,0,0,0
382778,2015-11-09 19:52:51 +0200,2,9,0,3,0,0,2
382777,2015-11-09 19:38:59 +0200,0,1,0,0,0,0,0
382776,2015-11-09 19:34:28 +0200,1,0,0,0,0,0,0
382775,2015-11-09 19:29:38 +0200,0,4,0,0,0,0,0
382774,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0
382773,2015-11-09 19:20:31 +0200,1,2,0,0,0,0,0
382772,2015-11-09 19:14:20 +0200,0,16,5,7,0,0,3
382771,2015-11-09 19:10:32 +0200,2,0,0,0,0,0,0
382770,2015-11-09 18:57:30 +0200,0,3,0,0,1,0,0
382769,2015-11-09 19:02:51 +0200,2,48,0,0,0,0,0,1
382768,2015-11-09 18:41:59 +0200,0,48,0,0,0,0,0,0
382767,2015-11-09 18:33:19 +0200,1,22,0,0,0,0,0,0
382766,2015-11-09 18:28:06 +0200,0,31,0,0,0,0,0,0
382765,2015-11-09 18:27:07 +0200,5,51,6,0,0,0,0,0
382764,2015-11-09 18:23:33 +0200,0,7,0,0,0,0,0,0
382763,2015-11-09 18:18:33 +0200,0,1,0,0,0,0,0,0
382762,2015-11-09 17:38:33 +0200,2,8,1,0,0,0,0,0
382761,2015-11-09 17:22:42 +0200,0,4,1,23,0,0,1,0,4
382760,2015-11-09 17:10:41 +0200,1,2,0,0,0,0,0,0,0
382759,2015-11-09 17:04:35 +0200,2,9,0,0,0,0,0,0,0
382758,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0
382757,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0
382756,2015-11-09 16:43:30 +0200,1,13,2,0,0,0,0,0,0
382755,2015-11-09 16:33:25 +0200,1,2,0,0,0,0,0,0,0
382754,2015-11-09 16:29:17 +0200,2,3,1,0,0,0,0,0,0
382753,2015-11-09 16:10:12 +0200,1,1,0,0,0,0,0,0,0
382752,2015-11-09 15:55:38 +0200,0,2,0,0,0,0,0,0,0
382751,2015-11-09 15:51:08 +0200,1,4,1,4,0,0,0,0,0
382750,2015-11-09 15:51:20 +0200,1,1,0,0,0,0,0,0,0
382749,2015-11-09 15:37:24 +0200,0,5,0,0,0,0,0,0,0
382748,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0
382747,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0
382746,2015-11-09 15:33:39 +0200,2,19,3,0,0,0,0,0,0
382745,2015-11-09 15:12:01 +0200,2,4,0,0,0,0,0,0,0
382744,2015-11-09 15:00:13 +0200,0,4,0,0,0,0,0,0,0
382743,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0
382742,2015-11-09 14:53:14 +0200,0,6,2,25,0,0,2,0,6,4
382741,2015-11-09 14:50:52 +0200,2,1,0,0,0,0,0,0,0,0
382740,2015-11-09 14:38:57 +0200,1,24,2,0,0,0,0,0,0,0
382739,2015-11-09 14:28:31 +0200,3,5,0,0,0,0,0,0,0,0
382738,2015-11-09 14:26:36 +0200,1,3,0,0,0,0,0,0,0,0
382737,2015-11-09 14:00:53 +0200,0,1,0,0,0,0,0,0,0,0
382736,2015-11-09 13:41:13 +0200,2,6,3,0,0,0,1,0,0,0
382735,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0
382734,2015-11-09 13:27:37 +0200,0,2,0,0,0,0,0,0,0,0
382733,2015-11-09 13:23:47 +0200,1,0,0,0,0,0,0,0,0,0
382732,2015-11-09 13:19:55 +0200,1,9,2,13,0,0,1,0,0,0
382731,2015-11-09 13:02:51 +0200,1,0,0,0,0,0,0,0,0,0
382730,2015-11-09 12:59:48 +0200,2,15,11,0,0,0,0,0,0,0
382729,2015-11-09 12:40:02 +0200,1,4,0,0,0,0,0,0,0,0
382728,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0
382727,2015-11-09 12:20:44 +0200,2,2,0,0,0,0,0,0,0,0
382726,2015-11-09 12:02:24 +0200,1,23,0,0,0,0,0,0,0,0
382725,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0
382724,2015-11-09 11:55:40 +0200,0,1,0,0,0,0,0,0,0,0
382723,2015-11-09 11:53:15 +0200,3,3,2,6,0,0,1,0,0,0
382722,2015-11-09 11:40:38 +0200,1,1,0,0,0,0,0,0,0,0
382721,2015-11-09 11:16:46 +0200,2,3,0,0,0,0,0,0,0,0
382720,2015-11-09 10:51:13 +0200,1,0,0,0,0,0,0,0,0,0
382719,2015-11-09 10:50:44 +0200,1,2,0,0,0,0,0,0,0,0
382718,2015-11-09 10:36:24 +0200,1,1,0,0,0,0,0,0,0,0,2
382717,2015-11-09 10:29:33 +0200,2,2,0,0,0,0,0,0,0,0,3
382716,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0
382715,2015-11-09 10:02:04 +0200,1,2,0,0,0,0,0,0,0,0,0
382714,2015-11-09 09:59:41 +0200,0,0,0,3,0,0,0,0,0,0,0
382713,2015-11-09 09:57:31 +0200,0,2,3,0,0,0,0,0,0,0,0
382712,2015-11-09 09:50:59 +0200,2,3,0,0,0,0,0,0,0,0,0
382711,2015-11-09 09:31:02 +0200,1,1,0,3,0,0,0,0,0,0,0
382710,2015-11-09 09:23:48 +0200,1,1,0,0,0,0,0,0,0,0,0
382709,2015-11-09 09:13:41 +0200,1,2,0,0,0,0,0,0,0,0,0
382708,2015-11-09 09:09:16 +0200,3,3,0,0,0,0,0,0,0,0,1
382707,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0
382706,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0
382705,2015-11-09 08:28:33 +0200,2,3,0,0,0,0,0,0,0,0,0
382704,2015-11-09 08:14:33 +0200,1,3,0,0,0,0,0,0,0,0,0
382703,2015-11-09 08:00:43 +0200,1,0,0,3,0,0,0,0,0,0,0
382702,2015-11-09 07:57:01 +0200,0,1,0,0,0,0,0,0,0,0,0
382701,2015-11-09 07:52:21 +0200,1,4,0,0,0,0,0,0,0,0,0
382700,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0
382699,2015-11-09 07:42:20 +0200,1,6,0,0,0,0,0,0,0,0,0
382698,2015-11-09 07:37:54 +0200,0,6,0,0,0,0,0,0,0,0,0
382697,2015-11-09 07:37:31 +0200,1,2,0,0,0,0,0,0,0,0,0
382696,2015-11-09 07:28:11 +0200,0,1,0,0,0,0,0,0,0,0,0
382695,2015-11-09 07:32:33 +0200,0,3,0,6,0,0,1,0,4,0,0
382694,2015-11-09 07:22:54 +0200,1,11,0,0,0,0,0,0,0,0,0
382693,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0
382692,2015-11-09 07:13:05 +0200,0,14,1,0,0,0,0,0,0,0,0
382691,2015-11-09 07:10:29 +0200,1,3,0,0,0,0,0,0,0,0,0
382690,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0
382689,2015-11-09 07:00:33 +0200,3,7,0,0,0,0,0,0,0,0,0
382688,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0
382687,2015-11-09 06:33:43 +0200,1,20,0,0,0,0,0,0,0,0,0
382686,2015-11-09 06:26:38 +0200,1,3,0,0,0,0,0,0,0,0,0
382685,2015-11-09 06:19:19 +0200,1,1,0,0,0,0,0,0,0,0,0
382684,2015-11-09 06:08:07 +0200,3,11,1,0,0,0,0,0,0,0,1
382683,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0
382682,2015-11-09 05:41:54 +0200,1,0,0,0,0,0,0,0,0,0,0
382681,2015-11-09 05:28:56 +0200,0,1,0,10,0,0,1,0,0,0,0
382680,2015-11-09 05:26:30 +0200,0,3,0,0,0,0,0,0,0,0,0
382679,2015-11-09 05:29:59 +0200,2,1,0,0,0,1,0,0,0,0,0
382678,2015-11-09 05:18:59 +0200,1,14,0,0,1,0,0,0,0,0,1
382677,2015-11-09 04:51:40 +0200,1,0,0,1,0,0,2,0,0,0,0
382676,2015-11-09 04:47:34 +0200,1,1,0,0,0,0,0,0,0,0,0
382675,2015-11-09 04:31:32 +0200,3,4,0,0,0,0,0,0,0,0,0
382674,2015-11-09 04:25:52 +0200,3,7,0,0,0,0,0,0,0,0,0
382673,2015-11-09 03:36:45 +0200,1,8,0,0,0,0,2,0,0,0,0
382672,2015-11-09 03:23:11 +0200,3,4,0,0,0,0,2,0,0,0,0
382671,2015-11-09 02:51:44 +0200,4,6,0,0,1,0,0,0,0,0,0
382670,2015-11-09 02:17:04 +0200,1,8,0,0,0,0,0,0,0,0,0
382669,2015-11-09 02:10:25 +0200,0,1,0,0,0,0,0,0,0,0,0
382668,2015-11-09 02:03:35 +0200,2,3,0,14,0,0,5,0,0,0,0
382667,2015-11-09 01:43:26 +0200,2,4,0,0,0,0,0,0,0,0,0
382666,2015-11-09 01:25:08 +0200,0,1,0,0,0,1,0,0,0,0,0
382665,2015-11-09 01:21:40 +0200,5,3,2,0,0,0,0,0,0,0,0
382664,2015-11-09 00:31:07 +0200,1,2,0,0,0,0,0,0,0,0,0
382663,2015-11-09 00:22:46 +0200,3,2,0,0,0,2,0,0,0,0,0
382662,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0
382661,2015-11-08 23:59:39 +0200,3,1,0,0,0,0,0,0,0,0,0
382660,2015-11-08 23:25:59 +0200,3,1,0,1,0,0,6,0,0,0,0
382659,2015-11-08 22:58:20 +0200,0,2,0,0,0,0,0,0,0,0,0
382658,2015-11-08 22:52:09 +0200,1,1,0,0,0,0,0,0,0,0,0
382657,2015-11-08 22:47:37 +0200,0,2,0,0,0,0,0,0,0,0,0
382656,1970-01-01 02:00:00 +0200,0,0,0,0,0,0,0,0,0,0,0
382655,2015-11-08 22:40:23 +0200,2,2,1,0,0,0,1,0,0,0,0
382654,2015-11-08 22:22:08 +0200,1,1,0,3,0,0,0,0,0,0,0
382653,2015-11-08 22:15:28 +0200,1,2,0,0,0,0,0,0,0,0,0
382652,2015-11-08 22:03:45 +0200,3,6,0,0,0,0,0,0,0,0,0
