date	Factom	unknown	Ascribe	Open Assets	Proof of Existence	Monegraph	Eternity Wall	BlockSign	Colu	Omni Layer	Stampery	Remembr	Bitproof	Blockstore	CoinSpark	stampd
2015-10-21 22:30	1	60	0	2	0	0	2	0	0	0	0	0	0	0	0
2015-10-21 22:31	0	51	0	0	0	6	0	0	0	0	0	0	0	0	4
2015-10-21 22:26	4	2	0	0	0	0	0	0	0	0	0	0	1	0	0
2015-10-21 21:43	1	53	0	0	1	0	0	0	0	0	0	0	0	0	1
2015-10-21 21:33	3	19	0	0	7	22	0	0	0	0	0	0	0	0	0
2015-10-21 21:07	0	1	0	0	2	2	0	0	0	0	0	0	0	0	1
2015-10-21 21:03	2	8	0	0	0	0	0	0	0	0	0	0	0	0	1
2015-10-21 20:49	6	4	0	0	0	0	0	0	0	0	0	0	0	0	5
2015-10-21 20:39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
2015-10-21 19:49	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2015-10-21 19:45	1	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0
2015-10-21 19:36	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0
2015-10-21 19:31	2	7	0	0	0	12	1	0	0	0	0	0	0	0	1	0
2015-10-21 19:15	1	11	0	3	0	11	0	0	0	0	0	0	0	0	1	0
2015-10-21 19:07	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2015-10-21 19:02	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
2015-10-21 18:59	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0
2015-10-21 18:29	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2015-10-21 18:23	1	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2015-10-21 18:15	1	7	0	7	0	0	1	0	0	0	0	0	0	0	1	0
2015-10-21 18:05	1	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0
2015-10-21 17:54	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2015-10-21 17:23	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2015-10-21 17:21	2	9	0	0	0	3	0	0	0	0	0	0	0	0	1	0
2015-10-21 17:06	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2015-10-21 17:06	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2015-10-21 17:00	0	13	0	3	0	114	1	0	0	0	0	0	0	0	4	0
2015-10-21 16:58	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2015-10-21 16:16	1	4	0	0	0	24	0	0	0	0	0	0	0	0	1	0
2015-10-21 16:10	0	6	0	0	0	6	0	0	0	0	0	0	0	0	1	0
2015-10-21 16:00	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2015-10-21 15:59	1	3	0	0	0	0	0	0	0	0	0	0	0	53	1	0
2015-10-21 15:43	1	4	0	0	0	0	0	0	0	0	0	0	0	63	2	1
2015-10-21 15:35	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2015-10-21 15:32	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
2015-10-21 15:21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2015-10-21 15:15	0	4	0	4	0	0	0	0	0	0	0	0	0	0	1	0
