date	Factom	unknown	Proof of Existence	Open Assets	Colu	Blockstore	Eternity Wall	Ascribe	Monegraph	Stampery	Omni Layer	Bitproof	CoinSpark	LaPreuve	BlockSign	Remembr	stampd	18	19	20	21	22	23	24	25	26	27	28	29	30	31	Total	Cummulative
2015-11-22	0	85	225	1	11	27	2	2	13	1	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	585	286075
2015-11-21	0	141	363	1	20	102	0	1	24	19	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	679	285981
2015-11-20	0	144	398	5	37	46	1	3	67	330	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1331	285724
2015-11-19	0	144	616	6	58	18	4	7	20	69	72	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1016	285585
2015-11-18	0	144	703	14	33	82	1	5	42	74	77	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1176	285498
2015-11-17	0	146	671	9	41	97	12	8	64	42	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1106	285417
2015-11-16	0	142	606	2	42	55	47	14	35	12	3	2	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	965	285348
2015-11-15	0	145	610	7	19	42	167	8	41	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1043	285273
2015-11-14	0	143	433	9	19	56	114	9	35	12	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	840	285121
2015-11-13	0	146	550	5	23	43	32	20	36	30	4	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	896	285025
2015-11-12	0	142	519	5	24	51	112	163	81	66	6	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1173	284884
2015-11-11	0	147	431	4	81	51	3	37	48	59	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	873	284811
2015-11-10	0	142	552	6	82	17	31	9	80	45	14	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	981	284761
2015-11-09	0	143	688	5	145	14	0	26	54	34	8	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1123	284727
2015-11-08	0	145	278	4	138	181	0	35	34	10	24	6	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	857	284632
2015-11-07	0	144	265	15	148	243	211	8	74	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1109	284496
2015-11-06	0	140	231	4	157	3	1	8	42	66	25	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	686	284373
2015-11-05	0	145	463	5	210	13	0	9	69	15	0	0	1	681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1611	284216
2015-11-04	0	143	297	5	107	0	37	10	76	153	0	2	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1013	284065
2015-11-03	0	144	388	11	209	38	87	7	66	366	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1547	283946
2015-11-02	0	146	616	12	95	53	10	11	567	1916	0	2	1	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3810	283917
2015-11-01	0	142	486	3	90	78	41	2	78	60	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	982	283769
2015-10-31	0	144	362	1	90	59	26	7	40	164	1	2	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	998	283515
2015-10-30	0	147	550	1	81	52	345	6	1109	521	6	4	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2833	283336
2015-10-29	0	141	4319	5	105	69	43	21	984	252	0	4	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5946	283210
2015-10-28	0	145	1628	3	82	27	21	8	4	820	1	2	2	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2762	283115
2015-10-27	0	147	449	5	90	127	3	7	10	87	5	4	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	943	283069
2015-10-26	0	143	459	2	85	46	194	6	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	952	283015
2015-10-25	0	185	361	1	82	90	3	12	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	747	282874
2015-10-24	0	113	803	3	85	64	313	4	0	14	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1404	282704
2015-10-23	0	141	501	5	83	92	270	2	0	115	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1223	282585
2015-10-22	0	144	887	2	108	90	67	6	0	17	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1418	282381
2015-10-21	0	144	1321	11	113	8	226	17	0	1286	0	10	1	133	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3273	282169
2015-10-20	0	144	521	5	91	1	17	4	0	704	1	2	1	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1628	281963
2015-10-19	0	156	296	6	75	0	49	12	0	222	0	6	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	967	281788
2015-10-18	0	152	399	3	54	0	2	8	0	187	0	3	0	144	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	955	281603
2015-10-17	0	144	168	1	77	0	215	8	0	47	0	0	0	154	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	816	281005
2015-10-16	0	145	427	2	105	35	1	5	0	71	0	0	1	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1017	280420
2015-10-15	0	143	394	8	121	46	2	3	0	73	0	0	0	157	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	948	280049
2015-10-14	0	171	414	6	96	92	0	5	0	711	0	2	5	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1703	279808
2015-10-13	0	237	418	7	182	23	0	5	0	316	1	2	1	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1357	279619
2015-10-12	0	283	508	4	102	11	0	10	0	201	2	0	1	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1349	279549
2015-10-11	0	98	567	1	88	15	1	14	0	8	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	914	279498
2015-10-10	0	75	217	2	92	4	47	14	0	16	0	0	1	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540	279318
2015-10-09	0	139	321	3	109	3	4	3	0	546	0	0	0	189	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1321	278962
2015-10-08	0	130	498	5	114	23	361	6	4	1543	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2822	278805
2015-10-07	0	143	421	5	126	75	0	3	14	150	3	0	0	157	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1098	278492
2015-10-06	0	153	782	2	135	77	0	4	33	104	0	6	1	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1485	278410
2015-10-05	0	226	169	1	111	39	0	17	44	13	0	0	1	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	800	278255
2015-10-04	0	234	156	3	97	24	0	8	0	17	0	2	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	698	278018
2015-10-03	0	145	135	1	79	7	0	15	0	105	0	0	0	145	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	633	277762
2015-10-02	0	166	612	1	118	10	0	2	0	172	5	4	2	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1233	277617
2015-10-01	0	147	356	1	225	65	0	13	93	149	1	1	1	143	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1196	277408
2015-09-30	0	143	546	4	275	102	192	7	62	434	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1928	277151
2015-09-29	0	145	294	3	305	68	2	18	34	592	0	0	1	250	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1713	276811
2015-09-28	0	144	197	4	424	51	0	1	67	514	0	0	0	146	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1550	276525
2015-09-27	0	145	366	2	329	52	0	9	38	258	0	4	0	151	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1355	276098
2015-09-26	0	143	114	2	182	53	0	3	30	386	0	4	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1069	275847
2015-09-25	0	145	214	0	276	62	0	5	39	186	0	4	0	158	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1096	275550
2015-09-24	0	144	116	2	103	57	0	15	74	101	0	0	0	257	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	870	275359
2015-09-23	0	147	213	3	119	52	1454	7	74	21	0	10	0	166	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2267	275121
